day,country,value
2021-01-21,ApprovedQs,0.064
2021-01-24,ApprovedQs,0.099
2021-01-25,ApprovedQs,0.11
2021-01-26,ApprovedQs,0.115
2021-01-27,ApprovedQs,0.135
2021-01-28,ApprovedQs,0.139
2021-01-29,ApprovedQs,0.167
2021-01-31,ApprovedQs,0.326
2021-02-01,ApprovedQs,0.366
2021-02-02,ApprovedQs,0.406
2021-02-03,ApprovedQs,0.422
2021-02-04,ApprovedQs,0.422
2021-02-05,ApprovedQs,0.422
2021-02-06,ApprovedQs,0.428
2021-02-08,ApprovedQs,0.455
2021-02-09,ApprovedQs,0.491
2021-02-10,ApprovedQs,0.524
2021-02-11,ApprovedQs,0.551
2021-02-12,ApprovedQs,0.577
2021-02-13,ApprovedQs,0.591
2021-02-14,ApprovedQs,0.596
2021-02-15,ApprovedQs,0.604
2021-02-16,ApprovedQs,0.617
2021-02-17,ApprovedQs,0.631
2021-02-18,ApprovedQs,0.635
2021-02-19,ApprovedQs,0.672
2021-02-20,ApprovedQs,0.745
2021-02-21,ApprovedQs,0.768
2021-02-22,ApprovedQs,0.795
2021-02-23,ApprovedQs,0.815
2021-02-24,ApprovedQs,0.838
2021-02-25,ApprovedQs,0.875
2021-02-26,ApprovedQs,0.904
2021-02-27,ApprovedQs,0.905
2021-03-01,ApprovedQs,0.905
2021-03-02,ApprovedQs,0.905
2021-03-03,ApprovedQs,0.905
2021-03-05,ApprovedQs,0.905
2021-03-06,ApprovedQs,0.905
2021-03-07,ApprovedQs,0.917
2021-03-08,ApprovedQs,0.917
2021-03-09,ApprovedQs,0.924
2021-03-10,ApprovedQs,0.934
2021-03-11,ApprovedQs,0.958
2021-03-12,ApprovedQs,0.958
2021-03-13,ApprovedQs,0.958
2021-03-14,ApprovedQs,1.007
2021-01-21,10qPicked,0.025
2021-01-24,10qPicked,0.07
2021-01-25,10qPicked,0.095
2021-01-26,10qPicked,0.104
2021-01-27,10qPicked,0.124
2021-01-28,10qPicked,0.129
2021-01-29,10qPicked,0.159
2021-01-31,10qPicked,0.174
2021-02-01,10qPicked,0.174
2021-02-02,10qPicked,0.189
2021-02-03,10qPicked,0.199
2021-02-04,10qPicked,0.199
2021-02-05,10qPicked,0.199
2021-02-06,10qPicked,0.204
2021-02-08,10qPicked,0.219
2021-02-09,10qPicked,0.259
2021-02-10,10qPicked,0.294
2021-02-11,10qPicked,0.313
2021-02-12,10qPicked,0.353
2021-02-13,10qPicked,0.368
2021-02-14,10qPicked,0.373
2021-02-15,10qPicked,0.383
2021-02-16,10qPicked,0.388
2021-02-17,10qPicked,0.408
2021-02-18,10qPicked,0.408
2021-02-19,10qPicked,0.418
2021-02-20,10qPicked,0.458
2021-02-21,10qPicked,0.537
2021-02-22,10qPicked,0.597
2021-02-23,10qPicked,0.647
2021-02-24,10qPicked,0.697
2021-02-25,10qPicked,0.766
2021-02-26,10qPicked,0.811
2021-02-27,10qPicked,0.831
2021-03-01,10qPicked,0.831
2021-03-02,10qPicked,0.831
2021-03-03,10qPicked,0.831
2021-03-05,10qPicked,0.831
2021-03-06,10qPicked,0.831
2021-03-07,10qPicked,0.856
2021-03-08,10qPicked,0.856
2021-03-09,10qPicked,0.881
2021-03-10,10qPicked,0.905
2021-03-11,10qPicked,0.93
2021-03-12,10qPicked,0.93
2021-03-13,10qPicked,0.93
2021-03-14,10qPicked,0.965
2021-01-21,Transl,0.015
2021-01-24,Transl,0.015
2021-01-25,Transl,0.015
2021-01-26,Transl,0.015
2021-01-27,Transl,0.015
2021-01-28,Transl,0.015
2021-01-29,Transl,0.025
2021-01-31,Transl,0.055
2021-02-01,Transl,0.119
2021-02-02,Transl,0.159
2021-02-03,Transl,0.169
2021-02-04,Transl,0.179
2021-02-05,Transl,0.184
2021-02-06,Transl,0.184
2021-02-08,Transl,0.194
2021-02-09,Transl,0.224
2021-02-10,Transl,0.254
2021-02-11,Transl,0.254
2021-02-12,Transl,0.269
2021-02-13,Transl,0.269
2021-02-14,Transl,0.269
2021-02-15,Transl,0.323
2021-02-16,Transl,0.323
2021-02-17,Transl,0.343
2021-02-18,Transl,0.343
2021-02-19,Transl,0.358
2021-02-20,Transl,0.358
2021-02-21,Transl,0.358
2021-02-22,Transl,0.373
2021-02-23,Transl,0.373
2021-02-24,Transl,0.557
2021-02-25,Transl,0.577
2021-02-26,Transl,0.577
2021-02-27,Transl,0.577
2021-03-01,Transl,0.577
2021-03-02,Transl,0.577
2021-03-03,Transl,0.761
2021-03-05,Transl,0.761
2021-03-06,Transl,0.761
2021-03-07,Transl,0.761
2021-03-08,Transl,0.761
2021-03-09,Transl,0.856
2021-03-10,Transl,0.876
2021-03-11,Transl,0.896
2021-03-12,Transl,0.91
2021-03-13,Transl,0.91
2021-03-14,Transl,0.915
2021-01-21,Survey,0.015
2021-01-24,Survey,0.015
2021-01-25,Survey,0.015
2021-01-26,Survey,0.015
2021-01-27,Survey,0.015
2021-01-28,Survey,0.015
2021-01-29,Survey,0.025
2021-01-31,Survey,0.025
2021-02-01,Survey,0.08
2021-02-02,Survey,0.124
2021-02-03,Survey,0.144
2021-02-04,Survey,0.164
2021-02-05,Survey,0.174
2021-02-06,Survey,0.174
2021-02-08,Survey,0.179
2021-02-09,Survey,0.184
2021-02-10,Survey,0.194
2021-02-11,Survey,0.194
2021-02-12,Survey,0.199
2021-02-13,Survey,0.199
2021-02-14,Survey,0.199
2021-02-15,Survey,0.199
2021-02-16,Survey,0.199
2021-02-17,Survey,0.219
2021-02-18,Survey,0.219
2021-02-19,Survey,0.234
2021-02-20,Survey,0.234
2021-02-21,Survey,0.234
2021-02-22,Survey,0.244
2021-02-23,Survey,0.269
2021-02-24,Survey,0.328
2021-02-25,Survey,0.333
2021-02-26,Survey,0.343
2021-02-27,Survey,0.343
2021-03-01,Survey,0.343
2021-03-02,Survey,0.343
2021-03-03,Survey,0.542
2021-03-05,Survey,0.542
2021-03-06,Survey,0.542
2021-03-07,Survey,0.542
2021-03-08,Survey,0.542
2021-03-09,Survey,0.761
2021-03-10,Survey,0.766
2021-03-11,Survey,0.766
2021-03-12,Survey,0.846
2021-03-13,Survey,0.896
2021-03-14,Survey,0.9
2021-01-21,Results,0.015
2021-01-24,Results,0.015
2021-01-25,Results,0.015
2021-01-26,Results,0.015
2021-01-27,Results,0.015
2021-01-28,Results,0.015
2021-01-29,Results,0.025
2021-01-31,Results,0.025
2021-02-01,Results,0.025
2021-02-02,Results,0.04
2021-02-03,Results,0.045
2021-02-04,Results,0.05
2021-02-05,Results,0.06
2021-02-06,Results,0.06
2021-02-08,Results,0.1
2021-02-09,Results,0.104
2021-02-10,Results,0.114
2021-02-11,Results,0.114
2021-02-12,Results,0.114
2021-02-13,Results,0.114
2021-02-14,Results,0.114
2021-02-15,Results,0.119
2021-02-16,Results,0.124
2021-02-17,Results,0.134
2021-02-18,Results,0.139
2021-02-19,Results,0.149
2021-02-20,Results,0.149
2021-02-21,Results,0.149
2021-02-22,Results,0.169
2021-02-23,Results,0.179
2021-02-24,Results,0.179
2021-02-25,Results,0.179
2021-02-26,Results,0.199
2021-02-27,Results,0.199
2021-03-01,Results,0.199
2021-03-02,Results,0.209
2021-03-03,Results,0.259
2021-03-05,Results,0.259
2021-03-06,Results,0.259
2021-03-07,Results,0.259
2021-03-08,Results,0.259
2021-03-09,Results,0.363
2021-03-10,Results,0.388
2021-03-11,Results,0.398
2021-03-12,Results,0.403
2021-03-13,Results,0.438
2021-03-14,Results,0.448
2021-01-21,A-picked,0.015
2021-01-24,A-picked,0.015
2021-01-25,A-picked,0.015
2021-01-26,A-picked,0.015
2021-01-27,A-picked,0.015
2021-01-28,A-picked,0.015
2021-01-29,A-picked,0.025
2021-01-31,A-picked,0.025
2021-02-01,A-picked,0.025
2021-02-02,A-picked,0.035
2021-02-03,A-picked,0.035
2021-02-04,A-picked,0.04
2021-02-05,A-picked,0.045
2021-02-06,A-picked,0.045
2021-02-08,A-picked,0.075
2021-02-09,A-picked,0.075
2021-02-10,A-picked,0.085
2021-02-11,A-picked,0.085
2021-02-12,A-picked,0.085
2021-02-13,A-picked,0.085
2021-02-14,A-picked,0.085
2021-02-15,A-picked,0.085
2021-02-16,A-picked,0.09
2021-02-17,A-picked,0.095
2021-02-18,A-picked,0.1
2021-02-19,A-picked,0.109
2021-02-20,A-picked,0.109
2021-02-21,A-picked,0.109
2021-02-22,A-picked,0.124
2021-02-23,A-picked,0.129
2021-02-24,A-picked,0.129
2021-02-25,A-picked,0.134
2021-02-26,A-picked,0.144
2021-02-27,A-picked,0.144
2021-03-01,A-picked,0.144
2021-03-02,A-picked,0.154
2021-03-03,A-picked,0.184
2021-03-05,A-picked,0.234
2021-03-06,A-picked,0.234
2021-03-07,A-picked,0.234
2021-03-08,A-picked,0.234
2021-03-09,A-picked,0.308
2021-03-10,A-picked,0.323
2021-03-11,A-picked,0.348
2021-03-12,A-picked,0.368
2021-03-13,A-picked,0.428
2021-03-14,A-picked,0.438
2021-01-21,O-picked,0.015
2021-01-24,O-picked,0.015
2021-01-25,O-picked,0.015
2021-01-26,O-picked,0.015
2021-01-27,O-picked,0.015
2021-01-28,O-picked,0.015
2021-01-29,O-picked,0.025
2021-01-31,O-picked,0.025
2021-02-01,O-picked,0.025
2021-02-02,O-picked,0.03
2021-02-03,O-picked,0.03
2021-02-04,O-picked,0.03
2021-02-05,O-picked,0.035
2021-02-06,O-picked,0.035
2021-02-08,O-picked,0.05
2021-02-09,O-picked,0.05
2021-02-10,O-picked,0.055
2021-02-11,O-picked,0.055
2021-02-12,O-picked,0.055
2021-02-13,O-picked,0.055
2021-02-14,O-picked,0.055
2021-02-15,O-picked,0.055
2021-02-16,O-picked,0.055
2021-02-17,O-picked,0.06
2021-02-18,O-picked,0.06
2021-02-19,O-picked,0.07
2021-02-20,O-picked,0.07
2021-02-21,O-picked,0.07
2021-02-22,O-picked,0.08
2021-02-23,O-picked,0.085
2021-02-24,O-picked,0.085
2021-02-25,O-picked,0.09
2021-02-26,O-picked,0.095
2021-02-27,O-picked,0.095
2021-03-01,O-picked,0.095
2021-03-02,O-picked,0.1
2021-03-03,O-picked,0.114
2021-03-05,O-picked,0.209
2021-03-06,O-picked,0.209
2021-03-07,O-picked,0.209
2021-03-08,O-picked,0.214
2021-03-09,O-picked,0.254
2021-03-10,O-picked,0.264
2021-03-11,O-picked,0.299
2021-03-12,O-picked,0.368
2021-03-13,O-picked,0.368
2021-03-14,O-picked,0.438
2021-01-21,Draft,0.015
2021-01-24,Draft,0.015
2021-01-25,Draft,0.015
2021-01-26,Draft,0.015
2021-01-27,Draft,0.015
2021-01-28,Draft,0.015
2021-01-29,Draft,0.025
2021-01-31,Draft,0.025
2021-02-01,Draft,0.025
2021-02-02,Draft,0.025
2021-02-03,Draft,0.025
2021-02-04,Draft,0.025
2021-02-05,Draft,0.025
2021-02-06,Draft,0.025
2021-02-08,Draft,0.025
2021-02-09,Draft,0.025
2021-02-10,Draft,0.025
2021-02-11,Draft,0.025
2021-02-12,Draft,0.025
2021-02-13,Draft,0.025
2021-02-14,Draft,0.025
2021-02-15,Draft,0.025
2021-02-16,Draft,0.025
2021-02-17,Draft,0.025
2021-02-18,Draft,0.025
2021-02-19,Draft,0.035
2021-02-20,Draft,0.035
2021-02-21,Draft,0.035
2021-02-22,Draft,0.035
2021-02-23,Draft,0.04
2021-02-24,Draft,0.04
2021-02-25,Draft,0.045
2021-02-26,Draft,0.045
2021-02-27,Draft,0.045
2021-03-01,Draft,0.045
2021-03-02,Draft,0.045
2021-03-03,Draft,0.045
2021-03-05,Draft,0.189
2021-03-06,Draft,0.189
2021-03-07,Draft,0.189
2021-03-08,Draft,0.194
2021-03-09,Draft,0.204
2021-03-10,Draft,0.204
2021-03-11,Draft,0.254
2021-03-12,Draft,0.303
2021-03-13,Draft,0.294
2021-03-14,Draft,0.294
2021-01-21,A-edited,0.015
2021-01-24,A-edited,0.015
2021-01-25,A-edited,0.015
2021-01-26,A-edited,0.015
2021-01-27,A-edited,0.015
2021-01-28,A-edited,0.015
2021-01-29,A-edited,0.02
2021-01-31,A-edited,0.02
2021-02-01,A-edited,0.02
2021-02-02,A-edited,0.02
2021-02-03,A-edited,0.02
2021-02-04,A-edited,0.02
2021-02-05,A-edited,0.02
2021-02-06,A-edited,0.02
2021-02-08,A-edited,0.02
2021-02-09,A-edited,0.02
2021-02-10,A-edited,0.02
2021-02-11,A-edited,0.02
2021-02-12,A-edited,0.02
2021-02-13,A-edited,0.02
2021-02-14,A-edited,0.02
2021-02-15,A-edited,0.02
2021-02-16,A-edited,0.025
2021-02-17,A-edited,0.025
2021-02-18,A-edited,0.025
2021-02-19,A-edited,0.03
2021-02-20,A-edited,0.03
2021-02-21,A-edited,0.03
2021-02-22,A-edited,0.03
2021-02-23,A-edited,0.035
2021-02-24,A-edited,0.035
2021-02-25,A-edited,0.035
2021-02-26,A-edited,0.035
2021-02-27,A-edited,0.035
2021-03-01,A-edited,0.035
2021-03-02,A-edited,0.035
2021-03-03,A-edited,0.035
2021-03-05,A-edited,0.134
2021-03-06,A-edited,0.134
2021-03-07,A-edited,0.134
2021-03-08,A-edited,0.134
2021-03-09,A-edited,0.144
2021-03-10,A-edited,0.144
2021-03-11,A-edited,0.174
2021-03-12,A-edited,0.194
2021-03-13,A-edited,0.234
2021-03-14,A-edited,0.284
2021-01-21,O-edited,0.015
2021-01-24,O-edited,0.015
2021-01-25,O-edited,0.015
2021-01-26,O-edited,0.015
2021-01-27,O-edited,0.015
2021-01-28,O-edited,0.015
2021-01-29,O-edited,0.015
2021-01-31,O-edited,0.015
2021-02-01,O-edited,0.015
2021-02-02,O-edited,0.015
2021-02-03,O-edited,0.015
2021-02-04,O-edited,0.015
2021-02-05,O-edited,0.015
2021-02-06,O-edited,0.015
2021-02-08,O-edited,0.015
2021-02-09,O-edited,0.015
2021-02-10,O-edited,0.015
2021-02-11,O-edited,0.015
2021-02-12,O-edited,0.015
2021-02-13,O-edited,0.015
2021-02-14,O-edited,0.015
2021-02-15,O-edited,0.015
2021-02-16,O-edited,0.025
2021-02-17,O-edited,0.025
2021-02-18,O-edited,0.025
2021-02-19,O-edited,0.025
2021-02-20,O-edited,0.025
2021-02-21,O-edited,0.025
2021-02-22,O-edited,0.025
2021-02-23,O-edited,0.025
2021-02-24,O-edited,0.025
2021-02-25,O-edited,0.025
2021-02-26,O-edited,0.025
2021-02-27,O-edited,0.025
2021-03-01,O-edited,0.025
2021-03-02,O-edited,0.025
2021-03-03,O-edited,0.025
2021-03-05,O-edited,0.025
2021-03-06,O-edited,0.025
2021-03-07,O-edited,0.025
2021-03-08,O-edited,0.025
2021-03-09,O-edited,0.025
2021-03-10,O-edited,0.025
2021-03-11,O-edited,0.025
2021-03-12,O-edited,0.04
2021-03-13,O-edited,0.075
2021-03-14,O-edited,0.109
2021-01-21,Ready,0.015
2021-01-24,Ready,0.015
2021-01-25,Ready,0.015
2021-01-26,Ready,0.015
2021-01-27,Ready,0.015
2021-01-28,Ready,0.015
2021-01-29,Ready,0.015
2021-01-31,Ready,0.015
2021-02-01,Ready,0.015
2021-02-02,Ready,0.015
2021-02-03,Ready,0.015
2021-02-04,Ready,0.015
2021-02-05,Ready,0.015
2021-02-06,Ready,0.015
2021-02-08,Ready,0.015
2021-02-09,Ready,0.015
2021-02-10,Ready,0.015
2021-02-11,Ready,0.015
2021-02-12,Ready,0.015
2021-02-13,Ready,0.015
2021-02-14,Ready,0.015
2021-02-15,Ready,0.015
2021-02-16,Ready,0.025
2021-02-17,Ready,0.025
2021-02-18,Ready,0.025
2021-02-19,Ready,0.025
2021-02-20,Ready,0.025
2021-02-21,Ready,0.025
2021-02-22,Ready,0.025
2021-02-23,Ready,0.025
2021-02-24,Ready,0.025
2021-02-25,Ready,0.025
2021-02-26,Ready,0.025
2021-02-27,Ready,0.025
2021-03-01,Ready,0.025
2021-03-02,Ready,0.025
2021-03-03,Ready,0.025
2021-03-05,Ready,0.025
2021-03-06,Ready,0.025
2021-03-07,Ready,0.025
2021-03-08,Ready,0.025
2021-03-09,Ready,0.025
2021-03-10,Ready,0.025
2021-03-11,Ready,0.025
2021-03-12,Ready,0.025
2021-03-13,Ready,0.025
2021-03-14,Ready,0.025
2021-01-21,Delivered,0.01
2021-01-24,Delivered,0.01
2021-01-25,Delivered,0.01
2021-01-26,Delivered,0.01
2021-01-27,Delivered,0.01
2021-01-28,Delivered,0.01
2021-01-29,Delivered,0.015
2021-01-31,Delivered,0.015
2021-02-01,Delivered,0.015
2021-02-02,Delivered,0.015
2021-02-03,Delivered,0.015
2021-02-04,Delivered,0.015
2021-02-05,Delivered,0.015
2021-02-06,Delivered,0.015
2021-02-08,Delivered,0.015
2021-02-09,Delivered,0.015
2021-02-10,Delivered,0.015
2021-02-11,Delivered,0.015
2021-02-12,Delivered,0.015
2021-02-13,Delivered,0.015
2021-02-14,Delivered,0.015
2021-02-15,Delivered,0.015
2021-02-16,Delivered,0.025
2021-02-17,Delivered,0.025
2021-02-18,Delivered,0.025
2021-02-19,Delivered,0.025
2021-02-20,Delivered,0.025
2021-02-21,Delivered,0.025
2021-02-22,Delivered,0.025
2021-02-23,Delivered,0.025
2021-02-24,Delivered,0.025
2021-02-25,Delivered,0.025
2021-02-26,Delivered,0.025
2021-02-27,Delivered,0.025
2021-03-01,Delivered,0.025
2021-03-02,Delivered,0.025
2021-03-03,Delivered,0.025
2021-03-05,Delivered,0.025
2021-03-06,Delivered,0.025
2021-03-07,Delivered,0.025
2021-03-08,Delivered,0.025
2021-03-09,Delivered,0.025
2021-03-10,Delivered,0.025
2021-03-11,Delivered,0.025
2021-03-12,Delivered,0.025
2021-03-13,Delivered,0.025
2021-03-14,Delivered,0.025
