phase_from,phase_to,year,amount__loctype_to_region4
camps__from,gaza__to,2017,13865
camps__from,middle__to,2017,999
camps__from,north__to,2017,2662
camps__from,south__to,2017,666
camps__from,unknown__to,2017,408
governorates_centers__from,gaza__to,2017,14471
governorates_centers__from,middle__to,2017,3065
governorates_centers__from,north__to,2017,3628
governorates_centers__from,south__to,2017,1717
governorates_centers__from,unknown__to,2017,1316
localities_other_than_governorates_centers__from,gaza__to,2017,6293
localities_other_than_governorates_centers__from,middle__to,2017,6810
localities_other_than_governorates_centers__from,north__to,2017,7747
localities_other_than_governorates_centers__from,south__to,2017,4730
localities_other_than_governorates_centers__from,unknown__to,2017,2319
unknown__from,gaza__to,2017,27
unknown__from,middle__to,2017,21
unknown__from,north__to,2017,4
unknown__from,south__to,2017,2
unknown__from,unknown__to,2017,3167