phase_from,phase_to,year,amount__region4
gaza__from,gaza__to,2017,34536
gaza__from,middle__to,2017,271
gaza__from,north__to,2017,62
gaza__from,south__to,2017,25
gaza__from,unknown__to,2017,1258
middle__from,gaza__to,2017,57
middle__from,middle__to,2017,7788
middle__from,north__to,2017,1041
middle__from,south__to,2017,1169
middle__from,unknown__to,2017,709
north__from,gaza__to,2017,24
north__from,middle__to,2017,1701
north__from,north__to,2017,12624
north__from,south__to,2017,212
north__from,unknown__to,2017,1319
south__from,gaza__to,2017,12
south__from,middle__to,2017,1141
south__from,north__to,2017,331
south__from,south__to,2017,5711
south__from,unknown__to,2017,759
unknown__from,gaza__to,2017,3167
unknown__from,middle__to,2017,2854
unknown__from,north__to,2017,4850
unknown__from,south__to,2017,1714
unknown__from,unknown__to,2017,88